id,nama,lat,lon,is_depot,kecamatan
126,Servis Mesin Cuci QUANTUM Teknik,-7.0584345,110.3089347,0,Mijen
127,Radev Servis TV LED,-6.9961948,110.3242104,0,Ngaliyan
128,SR TV Elektronik,-7.0744769,110.4218449,0,Banyumanik
129,SHARP Service Center,-6.9837555,110.4346906,0,Semarang Timur
130,Skycell Service Hp,-6.9877903,110.4481291,0,Gayamsari
131,Spesialis TV LED Pedurungan Kidul,-7.0131305,110.4720428,0,Pedurungan
132,Stasiun Computer,-7.0565976,110.4359193,0,Tembalang
133,Sukun Elektronik,-7.0646314,110.4137489,0,Banyumanik
134,Sultan Servis Elektronik,-6.9698025,110.4538038,0,Pedurungan
135,Super Komputer,-6.9918418,110.327816,0,Ngaliyan
136,TCL Service Center,-6.977282,110.3689902,0,Semarang Barat
137,Terdekat Cell Service HP,-6.9695132,110.4091264,0,Semarang Utara
138,Toko Zam Zam Elektronik,-6.9529555,110.4804632,0,Genuk
139,Tokyo Zalfa elektronik,-6.998102,110.4520069,0,Gayamsari
140,Toshiba TV Service Center,-7.008414,110.4693355,0,Pedurungan
141,Umar Service Elektronik,-7.0494298,110.4223327,0,Banyumanik
142,Uni Comp Service Computer,-7.0286714,110.4279204,0,Candisari
143,USC Universal Service Center,-7.0791992,110.3087317,0,Mijen
144,VIP Computer,-7.0656077,110.4293604,0,Banyumanik
145,Wahyu Phone Service,-6.9989384,110.3897285,0,Semarang Barat
146,Wincom Servis Komputer,-7.0451634,110.3912741,0,Gunungpati
147,WS Electronic,-7.0213413,110.4702977,0,Tembalang
148,Yess Mobile Service HP,-7.0035383,110.39201,0,Semarang Barat
149,YS Computer,-7.0833961,110.3610462,0,Gunungpati
150,Yu_dha Computer,-6.9985262,110.3523577,0,Ngaliyan
151,Zapplerepair,-6.9632433,110.4643463,0,Genuk
