,TPA Jatibarang,99 KOMPUTER NGALIYAN (Servis laptop dan jual beli),abdie service elektronic,Adzan Elektronik,"AHA CELL (service, hardware & software)",AK teknik - service elektronik & AC,Alfacell Service Hp,ALL REPAIR HP SEMARANG BARAT,ANDI CELL SERVIS HP SEMARANG BARAT KARANGAYU,Andphone servis android dan iphone,Androfix Service HP Hardware Software Semarang,"Aren Jaya AC Gunung Pati - Service AC,Kulkas,Mesin Cuci Panggilan Semarang Ungaran",Arjuna service,Aset Comp (Servis Laptop Semarang),Atlanta Electronics Ngesrep,Awan TV | Spesialis TV LED Jawa Tengah,Baari Electronics Service,BARATA TEKNIK,Basscom laptop Service,Bintang Elektronik Service,Cahaya Perkasa Computer,CAHAYA SERVICE,Carlcare Service (Infinix-TECNO-itel) Semarang,Clinic Ponsel (Service Hp),Coocaa Service Centre,Cosmos Service Center Semarang,Dewa Komunika - Pusat Service HP,Dicell Service Hp,Dokter phone servis hp,Eagle Service Center/ESC,ELS Computer Semarang (ELS.ID),EPS SERVICE HP,Fikom Service Laptop dan Hp,"FIXIT Indonesia - Service & Jual Beli Laptop, Handphone, PC & Printer Semarang",FURODA CELL Service HP & Laptop | Service HP | Service Laptop | Service Terdekat | Unnes | Patemon | Gunungpati | Semarang,Gadget Center REPAIR,"GARASI TV(spesialist perbaikan tv lcd,led,plasma,oled)",GeniusComp,Gino Service Tv.kulkas,Glory Computer (Pusat Servis Laptop & PC),Golden Service (Service Laptop & HP),GRIYA SERVICE ELECTRONIK,Hartono Elektrik 2,Hartono Servis,Hepilepi Computer,HP SERVICE CENTER SEMARANG - Operated by PT HPS,iPhone Service Solution - Service Iphone Semarang,iRoom Service Apple Repair iPhone iPad iPod iWatch Airpods Macbook Semarang,iRoom Service Pedurungan Semarang,IT Com Service HP,JPC Service Laptop Gunungpati,"Jual beli servis kulkas,frizer,shocese",JULIED PART SPAREPART HP & ACC TERLENGKAP (SERVICE HP),KangService.id (Service LAPTOP & HP Murah Cepat Berkualitas) Legendaris Semarang,Kartika Service HP dan Sparepart HP,KingsJE Management,KLA Computer Ngaliyan,KLA Service Center Semarang,KMGS Komputer ( Service Laptop dan komputer ) Gestun Dan Gadai Laptop HP,KOKO LAPTOP (ZONA SERVICE LAPTOP & PC SEMARANG),Kusuma Computer,M 2 Cellular,Macbook Semarang - Apple Store & Service,MACREPAIR | Service Macbook Semarang,Magic Service Banyumanik - Pusat Reparasi Handphone & Laptop,Mandiri Jaya Teknik,Mediatech Service HP,Merpati Elektronik,Mitra Komunika ( Specialist Service ),mQcell Service HP,NA Computer (Service & jual beli laptop),NADHIRA KOMPUTER(service laptop dan komputer),ND Tech Service Genuk | HP | Android | Laptop | Komputer,ND Tech Service Pedurungan | HP | Android | Laptop | Komputer,Nusantara Komputer Tembalang,Panasonic Gobel Indonesia Service Center Semarang,PCC SOLUTION ( Tempatnya servis laptop & Komputer),PT. Adi Jaya Berguna ( Authorized Service Center LG),Pusat Service iphone,Pusat Service Laptop Tembalang (KM Computer),RAMEECELL SERVICE HP,RASYITHA PHONE,Rifqi Servis Elektronik Murah & Cepat,RS service Android dan iphone,Rumah retrofit Hid Led Sirine Sistem Kelistrikan,Rumahreparasi mzbeck,Saiyo Cell - HP Baru & Second • Service • Aksesoris,Samsung Service Center - Semarang,Service AC (Air Conditioner). Jual beli AC. Bongkar Pasang AC. Perbaikan AC,Service Center Handphone Laptop Printer Semarang,Service Center Sanken,Service Connection Smg,Service Dispenser.kulkas.water hiater,SERVICE ELECTROLUX KOTA SEMARANG,Service Elektronic( Mulia Bima),Service handphone,Service HP,Service HP 7cell,Service Iphone Semarang - SSI,"Service Kulkas, freezer, Ac, Dispenser, Showcase & Mesin Cuci | MFS Electronic service","Service kulkas, showcase, dispenser, freezer,dll semarang SJT) Satria Jaya Tehnik","Service Laptop , Jual Beli Laptop TV LCD LED Elektronik ( TopCompX )",Service Laptop 24 Jam & Recovery Data (VISLAP Cabang Tembalang),Service laptop komputer dan printer,"SERVICE MESIN CUCI, KIPAS joko bleduk",SERVICE MESIN CUCI TEMBALANG,Service Televisi,"SERVICE TV , DOKTER TV ( DTV ELEKTRONIK )",SERVICE TV LED (Boncez part LED),Service Tv Led Semarang Terbaik,Servis & Jual beli laptop UNNES (DIVA NOTEBOOK),Servis AC.kulkas.frezer.shouwkes.mesin cuci.kipas angin.megicom.blender.pompa air.mixzer.water heater gas.kompor. seterika.,SERVIS AC | KULKAS | MESIN CUCI | TV | Berdikari Elektronik Service,Servis Center Resmi Xiaomi - Poco - Infinix - Tecno - Itel,"Servis electronik bukit kencana meteseh tembalang semarang,",Servis Elektronik dan HP,"Servis Elektronik tv led ,m cuci ,kipas , stb ,kipas dan lain lain tembalang semarang",Servis hp Sinshe Phone,"Servis kipas angin ""Epsilon Delta""",Servis kipas angin berkah,Servis Kipas Ngaliyan Pak Slamet,"Servis Komputer, Laptop dan Smartphone Semarang | Dzulfikar Solution",Servis Komputer Gedawang,Servis Laptop Semarang || dokter komputer,"Servis Mesin cuci, TV, kulkas, kompor gas, kipas angin, blender, mixer, magic com, setrika, dispenser dll",Servis Mesin Cuci Murah | Service Kulkas AC dan Elektronik Semarang | Utama Teknik,Servis Mesin Cuci QUANTUM Teknik | Spesialis Servis Mesin Cuci Semarang,Servis TV LED ( Radev ),"Sevice TV LCD LED, ( SR TV Elektronik).",SHARP Service Center,Skycell Service Hp,Spesialis tv led JATENG,Stasiun Computer Tembalang | Jual Beli Laptop Semarang | Programing Desain Gaming,Sukun Elektronik,Sultan servis elektronik,Super Komputer Semarang,TCL Service Center Semarang,Terdekat Cell Service Hp,Toko Zam Zam Elektronik,Tokyo zalfa elektronik,Toshiba TV Service Center,TPA Jatibarang (142),"Umar Service elektronik kulkas, mesin cuci dll",Uni Comp Service Computer,USC Universal Service Center,VIP Computer - Service Laptop and Computer Semarang,WAHYU PHONE SERVICE,Wincom Servis Komputer,"WS Electronic, Jasa service Electronic Dan Jasa pemasangan CCTV",Yess mobile service hp,YS Computer Semarang || Jual Beli Laptop Semarang || Servis laptop dan Komputer Gunungpati Semarang,"Yu_dha Computer ( Service Komputer,printer,laptop)",Zapplerepair
Androfix Service HP Hardware Software Semarang,9.822,6.751,2.618,5.13,12.848,10.008,1.578,4.803,3.023,10.32,0.0,15.266,4.39,6.509,10.961,11.006,14.285,11.301,5.634,14.541,15.621,14.334,3.124,12.451,2.183,5.523,4.389,1.929,2.741,2.029,2.976,2.389,14.593,10.884,12.928,5.419,6.154,7.67,6.842,16.823,12.466,6.035,10.389,5.634,14.057,4.315,2.158,13.102,7.691,5.311,15.762,5.581,18.156,12.514,3.394,1.658,9.26,4.273,11.243,5.207,13.722,22.711,11.414,12.645,12.706,7.157,3.336,13.362,1.534,6.676,12.2,16.952,14.281,10.729,12.726,0.609,12.555,17.383,10.707,14.033,2.617,7.886,6.441,12.712,14.652,17.648,2.375,4.479,3.981,6.005,4.762,2.74,10.779,9.86,11.022,4.351,3.249,1.613,2.066,14.21,15.8,10.624,13.445,11.053,4.038,15.083,1.794,9.817,5.871,1.715,11.464,17.16,14.37,1.579,15.63,0.987,13.84,12.773,7.772,6.917,9.638,16.309,16.959,4.644,9.951,16.603,16.518,11.749,14.682,6.031,6.154,9.594,12.573,12.479,7.8,11.152,5.212,3.026,10.574,14.38,8.911,9.822,11.01,8.717,18.053,13.782,4.541,9.822,10.565,5.194,16.025,7.66,10.019
"Aren Jaya AC Gunung Pati - Service AC,Kulkas,Mesin Cuci Panggilan Semarang Ungaran",19.127,26.34,15.818,19.116,29.146,5.76,15.733,22.14,20.705,29.811,15.504,0.0,21.884,26.985,14.116,27.303,17.44,25.292,22.971,11.818,18.615,11.61,21.638,3.009,14.386,19.485,21.726,14.312,15.002,24.463,16.098,14.655,31.93,4.576,2.532,22.901,23.53,26.97,25.812,15.773,15.621,10.361,26.687,20.282,12.877,21.809,21.404,14.098,25.634,23.197,5.221,23.062,14.44,15.669,21.554,16.588,25.017,21.768,4.834,19.602,29.846,11.339,14.569,14.579,12.749,20.085,20.089,29.659,13.926,22.973,3.26,18.077,33.729,27.587,15.881,15.538,15.71,16.216,28.044,16.016,13.237,20.814,11.713,29.009,22.702,15.842,21.621,20.777,17.102,19.728,18.863,15.862,13.676,23.202,24.002,19.247,21.409,16.542,14.784,9.937,10.998,22.797,16.6,27.35,13.633,15.127,16.724,26.675,19.041,16.645,3.997,23.897,10.097,15.734,20.919,16.339,16.995,25.753,24.07,20.176,26.491,11.507,9.986,19.084,17.926,9.952,17.151,26.945,11.959,22.212,23.53,25.891,15.728,11.759,25.802,27.227,22.549,16.148,30.022,21.522,25.208,19.127,14.165,18.96,14.543,13.825,19.057,5.638,24.503,18.351,6.862,26.53,29.466
Arjuna service,14.541,11.47,3.513,9.849,11.575,12.955,6.297,9.522,7.742,7.895,6.067,24.468,0.0,11.228,10.782,9.048,14.106,10.067,10.353,14.362,20.34,14.155,3.654,15.398,6.901,10.242,9.108,4.876,7.46,9.219,4.223,7.108,19.312,13.83,15.875,3.167,3.902,12.389,4.302,21.541,12.286,8.982,9.155,4.4,13.878,2.811,6.877,12.922,5.151,1.324,20.48,3.329,22.875,12.334,4.074,7.151,13.979,2.769,14.19,9.925,11.297,27.43,11.235,12.466,12.526,5.923,8.055,12.128,6.253,4.459,15.147,21.671,11.856,8.188,12.547,6.102,12.375,22.102,15.425,13.854,5.563,6.652,9.206,10.754,19.371,22.367,7.094,3.708,5.61,4.77,9.481,4.369,10.6,8.626,9.788,9.069,5.218,7.106,4.58,14.031,15.62,15.343,13.266,9.818,7.695,14.904,7.287,7.277,10.59,7.208,14.41,21.879,14.191,6.297,14.395,6.903,13.661,11.539,6.538,5.219,14.357,16.13,16.78,9.363,8.601,16.424,21.237,16.468,14.503,2.043,3.902,8.359,12.394,12.3,5.26,15.87,9.931,4.655,8.149,14.201,7.676,14.541,10.831,7.483,22.772,13.603,9.26,12.769,9.33,8.161,20.744,12.379,7.594
Aset Comp (Servis Laptop Semarang),7.843,0.835,8.655,6.862,18.886,13.829,7.616,4.285,4.874,16.358,6.612,26.679,10.428,0.0,13.723,17.043,17.047,17.338,1.508,17.303,9.704,17.096,9.161,16.273,5.779,3.301,3.871,7.967,5.14,8.632,9.013,5.379,10.926,14.705,16.75,11.457,12.192,1.753,12.88,10.906,15.228,9.856,16.427,11.672,16.819,10.352,5.573,15.864,13.729,11.349,17.494,11.618,12.239,15.275,9.432,7.696,3.343,10.311,15.064,6.939,21.632,16.794,14.176,15.407,15.467,13.195,4.798,19.399,7.572,12.713,16.021,11.035,22.192,16.767,15.488,6.646,15.317,11.466,7.039,16.795,8.654,13.924,10.262,18.749,8.735,11.731,5.79,10.517,10.271,12.042,6.495,8.778,13.541,15.897,17.06,6.083,9.287,7.651,8.103,16.972,18.561,4.707,16.207,17.09,5.77,17.845,7.832,15.855,3.649,7.753,15.285,13.492,17.132,7.616,21.667,7.448,16.602,18.811,13.81,11.849,3.722,19.071,19.721,6.377,12.713,19.365,10.601,5.009,17.444,12.068,12.192,15.631,15.335,15.241,13.838,4.457,4.694,9.064,18.485,16.767,14.948,7.843,13.772,14.561,12.136,16.544,6.273,13.643,16.602,6.926,20.874,1.743,17.929
Atlanta Electronics Ngesrep,15.778,12.906,11.079,13.536,15.257,9.759,10.994,13.251,11.816,15.923,10.764,14.815,8.917,12.664,0.0,13.414,3.324,12.325,11.789,4.709,21.776,4.502,8.671,12.203,10.781,11.678,12.837,9.573,11.397,12.642,11.358,11.05,20.749,10.635,17.306,9.934,10.563,13.825,12.845,22.978,1.504,8.746,12.798,7.315,4.225,8.842,11.574,2.14,12.667,10.23,19.431,10.095,24.311,1.552,8.587,11.848,15.415,8.801,10.994,13.145,15.957,21.521,0.453,1.684,2.873,7.119,11.784,15.771,10.95,10.006,11.951,23.107,20.762,13.698,1.765,10.799,1.593,23.538,16.862,3.072,10.26,7.847,6.659,15.12,20.807,23.803,11.791,7.81,12.363,6.761,12.701,11.123,0.946,10.235,11.035,12.289,8.442,11.803,10.045,4.378,5.967,16.779,2.484,13.461,10.028,3.466,11.984,12.787,12.026,11.905,11.215,23.315,4.538,10.994,6.803,11.6,2.879,12.786,10.181,7.209,15.794,6.477,7.126,13.291,4.959,6.771,22.673,17.904,4.85,9.245,10.563,12.002,1.612,2.646,12.835,17.307,13.66,11.409,17.055,8.204,11.319,15.778,0.376,5.993,24.208,3.95,12.479,9.573,11.536,10.494,17.044,13.815,16.499
Awan TV | Spesialis TV LED Jawa Tengah,17.948,16.628,10.057,15.006,2.172,17.457,11.455,14.68,12.9,2.837,11.225,27.628,7.976,16.386,13.943,0.0,10.999,4.071,15.51,17.523,25.497,17.315,8.608,19.901,12.059,15.4,14.265,10.034,12.618,15.266,9.692,12.266,24.47,18.333,20.378,6.662,4.753,17.546,6.695,26.699,13.847,13.484,3.159,7.561,17.039,7.901,12.034,14.483,4.248,8.016,23.887,6.667,28.033,13.895,7.66,12.309,19.136,7.859,18.692,15.083,2.872,32.587,14.396,14.026,15.687,7.115,13.212,6.132,11.411,5.975,19.649,26.828,5.55,2.666,14.108,11.259,13.936,27.259,20.583,11.47,10.721,7.067,12.216,2.035,24.529,27.525,12.252,6.869,11.876,7.931,14.639,11.584,13.76,3.634,3.792,14.227,8.378,12.264,9.232,17.192,18.781,20.501,11.552,3.822,12.197,18.065,12.445,5.023,15.748,12.366,18.913,27.036,17.352,11.455,10.113,12.061,10.791,5.543,3.326,8.379,19.515,19.291,19.94,14.521,11.761,19.585,26.395,21.625,17.664,8.736,4.753,2.363,13.954,15.46,6.685,21.028,15.089,11.87,5.631,17.362,2.498,17.948,13.991,10.644,27.93,16.764,14.418,17.271,3.334,12.664,24.15,17.537,4.691
Baari Electronics Service,18.841,15.969,14.141,16.599,13.054,12.822,14.057,16.314,14.878,13.72,13.827,17.877,11.98,15.727,3.063,11.211,0.0,8.923,14.852,7.771,24.839,5.648,11.734,15.265,13.844,14.741,15.899,12.635,14.46,15.705,14.421,14.113,23.811,13.698,20.369,12.996,12.473,16.888,15.07,26.04,1.942,11.809,10.369,10.377,4.214,11.905,14.636,2.956,13.761,13.293,22.494,13.158,27.374,1.99,11.65,14.911,18.477,11.863,14.057,16.208,13.754,24.583,2.651,2.499,4.96,10.181,14.846,13.341,14.013,11.917,15.014,26.17,16.432,13.548,1.306,13.861,2.031,26.601,19.924,0.343,13.323,10.91,9.721,12.917,23.87,26.866,14.854,10.873,15.426,9.824,15.764,14.186,4.009,9.328,7.377,15.352,11.504,14.866,13.107,7.44,7.081,19.842,0.953,11.032,13.09,2.078,15.047,14.535,15.089,14.968,14.277,26.378,7.6,14.057,4.292,14.663,0.368,7.111,11.93,10.272,18.856,7.59,8.24,16.354,8.022,7.885,25.736,20.967,5.152,12.307,12.473,8.933,1.489,5.709,15.06,20.369,16.723,14.472,19.002,9.953,9.889,18.841,3.438,9.056,27.271,2.731,15.542,12.636,8.134,13.557,20.107,16.878,18.447
BARATA TEKNIK,17.788,16.934,10.543,15.313,5.97,16.774,11.761,14.986,13.206,6.635,11.531,25.975,8.282,16.692,12.289,4.127,8.768,0.0,15.817,15.869,25.804,15.662,8.914,19.217,12.366,15.706,14.572,10.34,12.924,13.409,9.998,12.572,24.776,17.649,19.694,7.566,6.838,17.853,8.287,27.005,13.794,12.801,3.284,7.654,15.385,8.207,12.341,14.43,5.84,9.608,23.728,7.57,28.339,13.841,7.966,12.616,19.443,8.166,18.009,15.389,6.67,32.894,12.742,13.973,14.034,6.008,13.519,6.257,11.717,6.281,18.966,27.135,9.347,6.464,9.673,11.566,13.883,27.566,20.89,9.239,11.027,5.092,10.713,5.833,24.835,27.831,12.558,7.175,13.13,7.101,14.945,11.89,12.107,2.244,1.561,14.534,8.685,12.57,9.539,15.538,17.128,20.807,9.32,3.947,12.038,10.446,12.752,6.615,16.054,12.672,18.229,27.343,15.698,11.761,7.882,12.367,8.56,3.311,3.633,7.549,19.821,17.637,18.287,14.827,10.108,17.931,26.701,21.932,16.011,10.328,6.838,1.848,13.901,13.807,8.277,21.335,15.395,12.176,9.428,15.708,2.804,17.788,12.338,8.99,28.236,15.11,14.724,16.588,1.077,12.504,23.991,17.843,8.489
Basscom laptop Service,6.335,1.305,7.147,5.354,17.378,12.321,6.108,2.777,3.366,14.85,5.104,27.149,8.92,1.063,12.215,15.535,15.539,15.831,0.0,15.795,10.175,15.588,7.653,14.765,4.271,1.793,2.363,6.459,3.632,7.124,7.505,3.871,9.418,13.197,15.242,9.949,10.684,2.223,11.372,11.376,13.72,8.348,14.919,10.164,15.311,8.844,4.065,14.356,12.221,9.841,15.986,10.11,12.71,13.768,7.924,6.188,3.813,8.803,13.556,5.431,20.124,17.265,12.668,13.899,13.96,11.687,3.29,17.892,6.064,11.206,14.513,11.506,20.683,15.259,13.98,5.138,13.809,11.936,5.531,15.287,7.146,12.416,8.754,17.241,9.206,12.202,4.282,9.009,8.763,10.534,4.987,7.27,12.033,14.389,15.552,4.575,7.779,6.143,6.596,15.464,17.053,5.178,14.699,15.582,4.262,16.337,6.324,14.347,2.141,6.245,13.777,11.984,15.624,6.108,20.159,5.94,15.094,17.303,12.302,10.341,4.192,17.563,18.213,4.869,11.205,17.857,11.072,6.573,15.936,10.56,10.684,14.123,13.827,13.733,12.33,5.976,3.186,7.556,16.977,15.259,13.44,6.335,12.264,13.053,12.607,15.036,4.765,12.135,15.094,5.418,16.249,2.214,16.421
Bintang Elektronik Service,19.358,16.486,14.658,17.116,19.759,13.339,14.574,16.831,15.395,20.424,14.344,12.516,12.497,16.244,4.729,17.916,5.12,15.905,15.369,0.0,25.356,0.745,12.251,15.485,14.361,15.258,16.416,13.152,14.976,16.222,14.938,14.63,24.328,14.215,15.008,13.513,14.143,17.404,16.425,26.557,6.233,12.326,17.3,10.894,2.011,12.422,15.153,3.269,16.247,13.809,17.133,13.675,22.323,6.281,12.167,15.428,18.994,12.38,14.574,16.725,20.459,19.223,5.182,3.749,2.509,10.698,15.363,20.272,14.53,13.586,15.736,26.687,24.341,18.2,6.494,14.378,6.322,27.117,20.441,4.812,13.84,11.427,10.238,19.622,24.387,27.383,15.37,11.39,15.943,10.341,16.28,14.703,4.289,13.815,14.615,15.869,12.021,15.383,13.624,0.842,2.624,20.359,7.213,17.963,13.607,3.923,15.564,17.288,15.606,15.485,14.794,26.895,0.749,14.574,11.532,15.18,7.608,16.366,14.683,10.789,19.373,3.134,3.784,16.871,8.539,3.428,26.253,21.484,1.093,12.824,14.143,16.504,6.341,2.372,16.415,20.887,17.24,14.989,20.635,12.135,15.821,19.358,4.778,9.573,22.426,2.622,16.059,13.153,15.115,14.074,14.746,17.395,20.079
Cahaya Perkasa Computer,8.991,9.365,17.496,15.703,27.726,19.806,16.456,13.126,13.714,25.199,15.453,18.615,19.268,10.01,22.564,25.884,25.888,26.179,10.348,26.144,0.0,25.936,18.002,17.823,14.62,12.141,12.711,16.807,13.981,17.473,17.854,14.219,19.766,18.622,17.346,20.297,21.032,9.995,21.721,2.842,24.068,18.697,25.268,20.512,25.66,19.193,14.414,24.704,22.569,20.189,15.198,20.459,4.176,24.116,18.273,16.537,8.042,19.151,18.88,15.779,30.473,8.73,23.017,24.247,24.308,22.035,13.639,28.24,16.412,21.554,18.074,2.34,31.032,25.607,24.329,15.487,24.157,3.402,15.879,25.636,17.495,22.764,19.103,27.59,5.727,3.668,14.631,19.358,19.111,20.883,15.335,17.618,22.381,24.738,25.901,14.924,18.127,16.491,16.944,25.813,27.402,5.822,25.048,25.931,14.611,26.686,16.672,24.695,12.489,16.594,18.078,6.922,25.973,16.457,30.508,16.288,25.442,27.651,22.651,20.69,9.516,27.912,23.968,15.217,21.554,28.206,2.538,9.97,26.285,20.909,21.032,24.472,24.176,24.081,22.678,10.252,13.535,17.904,27.325,25.608,23.789,8.991,22.613,23.402,4.073,25.385,15.114,19.684,25.443,15.767,12.81,9.555,26.77
CAHAYA SERVICE,19.15,16.279,14.451,16.909,19.551,13.132,14.366,16.623,15.188,20.217,14.137,12.309,12.29,16.037,4.522,17.709,4.543,15.698,15.161,0.745,25.148,0.0,12.044,15.278,14.153,15.05,16.209,12.945,14.769,16.014,14.731,14.423,24.121,14.007,14.801,13.306,13.935,17.197,16.218,26.35,6.026,12.118,17.092,10.687,1.434,12.214,14.946,2.692,16.039,13.602,16.926,13.467,22.116,6.074,11.959,15.221,18.787,12.173,14.366,16.517,20.251,19.015,4.975,3.172,1.781,10.491,15.156,20.065,14.322,13.379,15.529,26.479,24.134,17.992,6.287,14.171,6.115,26.91,20.234,4.236,13.633,11.22,10.031,19.415,24.18,27.176,15.163,11.182,15.736,10.133,16.073,14.495,4.082,13.608,14.408,15.661,11.814,15.175,13.417,1.872,2.047,20.151,7.006,17.755,13.4,3.346,15.357,17.081,15.399,15.278,14.587,26.687,2.032,14.367,11.325,14.972,7.4,16.158,14.475,10.582,19.166,2.557,3.207,16.664,8.331,2.851,26.046,21.276,0.516,12.617,13.935,16.296,6.134,2.165,16.207,20.679,17.033,14.781,20.427,11.928,15.614,19.15,4.571,9.365,22.219,2.045,15.852,12.946,14.908,13.867,14.539,17.188,19.872
Carlcare Service (Infinix-TECNO-itel) Semarang,12.205,9.134,2.169,7.513,10.742,10.583,3.961,7.186,5.406,11.408,3.732,23.596,1.266,8.892,9.91,8.899,13.234,9.195,8.017,13.49,18.004,13.283,0.0,13.026,4.566,7.906,6.772,2.54,5.125,5.609,1.624,4.772,16.977,11.459,13.503,2.295,3.03,10.053,5.207,19.206,11.415,6.61,8.283,3.528,13.006,1.191,4.541,12.051,5.029,2.579,18.145,2.457,20.539,11.462,2.218,4.816,11.643,1.15,11.818,7.59,12.551,25.094,10.363,11.594,11.655,5.051,5.719,11.256,3.917,3.587,12.775,19.335,13.111,8.067,11.675,3.766,11.504,19.766,13.09,12.982,3.228,5.78,6.674,10.606,17.035,20.031,4.758,2.836,5.33,3.898,7.145,4.09,9.728,7.754,8.916,6.734,2.073,4.77,1.467,13.159,14.748,13.007,12.394,8.946,5.323,14.032,4.952,7.155,8.254,4.873,12.039,19.543,13.319,3.962,13.523,4.567,12.789,10.667,5.666,4.347,12.021,15.258,15.908,7.027,7.729,15.552,18.901,14.132,13.631,1.607,3.03,7.487,11.522,11.428,5.197,13.535,7.596,4.376,9.404,13.329,6.805,12.205,9.959,6.611,20.436,12.731,6.924,10.397,8.459,5.79,18.408,10.043,8.848
Clinic Ponsel (Service Hp),11.998,15.796,12.809,14.133,22.019,2.751,12.725,13.847,12.412,20.434,12.495,3.009,14.099,15.553,12.587,20.176,15.911,19.672,14.678,14.787,17.823,14.579,12.833,0.0,11.377,14.567,13.433,11.303,11.993,16.171,13.089,11.647,23.638,1.568,0.477,15.128,15.864,16.714,16.956,14.981,14.091,7.352,19.56,13.807,15.845,14.024,13.112,17.067,17.804,15.425,6.053,15.29,13.648,14.139,12.565,13.579,18.304,13.983,1.825,13.741,23.835,10.547,13.04,17.548,15.717,14.465,12.38,22.532,10.917,15.846,0.251,17.285,24.394,20.842,14.352,12.529,14.18,15.423,19.751,15.659,10.228,15.194,8.704,21.882,21.91,15.05,13.329,13.65,14.094,12.559,13.297,12.854,12.404,17.582,18.381,12.886,12.42,13.533,11.775,12.906,13.966,22.005,15.071,20.223,10.624,18.095,13.715,19.931,14.915,13.636,0.988,23.104,13.066,12.725,19.39,13.331,15.465,20.132,16.943,12.214,18.683,14.476,12.955,13.888,11.577,12.921,16.358,20.793,14.928,16.144,15.864,18.764,14.198,14.728,17.913,20.196,14.257,13.139,20.688,16.006,18.081,11.998,12.635,12.611,13.751,16.794,13.076,2.629,18.882,11.091,6.07,16.704,20.132
Coocaa Service Centre,8.93,5.713,5.483,4.05,14.693,8.6,3.19,3.764,2.329,13.108,2.186,13.858,6.773,5.47,10.665,12.85,13.989,13.145,4.595,14.245,14.582,14.037,5.507,11.043,0.0,4.484,3.35,3.977,1.91,6.087,5.763,0.524,13.555,9.476,11.521,7.803,8.537,6.631,9.63,15.784,12.169,4.627,12.234,7.479,13.761,6.698,0.968,12.805,10.479,8.099,14.869,7.964,17.117,12.217,5.239,3.27,8.221,6.657,9.835,3.658,16.509,21.672,11.118,12.348,12.409,8.871,2.297,15.206,0.789,8.52,10.792,15.913,17.068,13.516,12.43,2.22,12.258,16.344,9.668,13.737,2.301,9.6,5.033,14.556,13.613,16.609,1.185,6.324,7.726,6.965,3.214,5.528,10.482,11.704,12.788,2.802,5.094,3.224,4.449,13.914,15.503,9.585,13.149,12.897,0.541,14.787,3.406,12.605,4.832,3.327,10.056,16.121,14.073,3.19,17.344,3.022,13.543,14.539,9.617,6.62,8.6,16.013,16.662,3.805,9.655,16.307,15.479,10.71,14.386,8.818,8.537,11.438,12.277,12.182,10.588,10.113,4.174,5.814,13.362,14.084,10.755,8.93,10.713,9.332,17.014,13.486,2.993,8.414,12.409,3.646,15.132,6.621,12.806
Cosmos Service Center Semarang,5.065,2.873,7.059,5.266,17.29,12.233,6.019,2.689,3.277,14.762,5.016,19.503,8.831,2.631,12.127,15.447,15.451,15.742,1.756,15.707,11.743,15.499,7.565,14.676,4.183,0.0,2.274,6.37,3.544,7.036,7.417,3.782,10.716,13.109,15.153,9.86,10.595,1.993,11.284,12.945,13.631,8.26,14.831,10.075,15.223,8.756,3.977,14.267,12.132,9.753,12.377,10.022,14.278,13.679,7.836,6.1,5.382,8.715,13.468,5.342,20.036,18.833,12.58,13.81,13.871,11.598,3.202,17.803,5.976,11.117,14.425,13.074,20.595,15.17,13.892,5.05,13.72,13.505,6.829,15.199,7.058,12.327,8.666,17.153,10.774,13.77,4.194,8.921,8.674,10.446,4.898,7.181,11.944,14.301,15.464,4.487,7.691,6.054,6.507,15.376,16.965,6.746,14.611,15.494,4.174,16.249,6.236,14.258,0.871,6.157,13.688,13.282,15.536,6.02,20.071,5.851,15.005,17.214,12.214,10.253,5.761,17.475,18.124,4.78,11.117,17.769,12.64,7.871,15.848,10.472,10.595,14.035,13.739,13.644,12.241,7.274,3.098,7.468,16.888,15.171,13.352,5.065,12.176,12.965,14.175,14.948,4.677,12.047,15.006,5.33,12.64,2.191,16.333
Dewa Komunika - Pusat Service HP,9.037,3.325,6.138,4.345,16.369,11.312,5.099,0.414,2.357,13.841,4.095,22.102,7.91,3.083,13.377,14.526,16.701,14.821,2.208,16.957,12.194,16.749,6.644,13.755,3.262,1.769,0.0,5.449,2.623,6.115,6.496,2.862,11.167,12.188,14.232,8.94,9.675,4.244,10.363,13.396,14.881,7.339,13.91,9.155,16.473,7.835,3.056,15.517,11.212,8.832,14.977,9.101,14.73,14.929,6.915,5.179,5.833,7.794,12.547,4.422,19.115,19.285,13.83,15.06,15.121,10.678,2.281,16.882,5.055,10.196,13.504,13.526,19.674,14.249,15.142,4.129,14.97,13.956,7.28,16.449,6.137,11.406,7.745,16.232,11.226,14.222,3.273,8.0,7.753,9.525,3.977,6.261,13.194,13.38,14.543,3.566,6.77,5.133,5.586,16.625,18.215,7.198,15.861,14.573,3.253,17.499,5.315,13.338,2.117,5.236,12.768,13.733,16.785,5.099,19.15,4.931,16.255,16.294,11.293,9.332,6.212,18.725,19.374,3.859,12.367,19.019,13.092,8.323,17.098,9.551,9.675,13.114,14.989,14.894,11.321,7.725,0.824,6.547,15.968,16.796,12.431,9.037,13.425,12.044,14.627,16.198,3.756,11.126,14.085,4.409,15.24,4.234,15.412
