id,nama,lat,lon,is_depot
76,PCC SOLUTION ( Tempatnya servis laptop & Komputer),-7.0524876,110.4356138,0
77,PT. Adi Jaya Berguna ( Authorized Service Center LG),-7.0665613,110.3076103,0
78,Pusat Service iphone,-6.9829002,110.3244928,0
79,Pusat Service Laptop Tembalang (KM Computer),-7.0627756,110.4423115,0
80,RAMEECELL SERVICE HP,-6.989419,110.4040201,0
81,RASYITHA PHONE,-7.0128228,110.4483308,0
82,Rifqi Servis Elektronik Murah & Cepat,-7.0119375,110.4054375,0
83,RS service Android dan iphone,-6.9814733,110.473694,0
84,Rumah retrofit Hid Led Sirine Sistem Kelistrikan,-7.0340745,110.3421938,0
85,Rumahreparasi mzbeck,-7.0698137,110.3072214,0
86,Saiyo Cell - HP Baru & Second • Service • Aksesoris,-6.9779314,110.390766,0
87,Samsung Service Center - Semarang,-6.9936755,110.4307793,0
88,Service AC (Air Conditioner). Jual beli AC. Bongkar Pasang AC. Perbaikan AC,-6.9575349,110.4103376,0
89,Service Center Handphone Laptop Printer Semarang,-7.0049676,110.4288621,0
90,Service Center Sanken,-7.0001454,110.3902874,0
91,Service Connection Smg,-6.9690999,110.4116795,0
92,Service Dispenser.kulkas.water hiater,-7.0482741,110.4188145,0
93,SERVICE ELECTROLUX KOTA SEMARANG,-7.0152056,110.4623023,0
94,Service Elektronic( Mulia Bima),-7.0261755,110.4678957,0
95,Service handphone,-6.9972402,110.3899836,0
96,Service HP,-6.990197,110.424346,0
97,Service HP 7cell,-6.9769896,110.4040377,0
98,Service Iphone Semarang - SSI,-6.9856775,110.4141247,0
99,"Service Kulkas, freezer, Ac, Dispenser, Showcase & Mesin Cuci | MFS Electronic service",-7.0804915,110.4121257,0
100,"Service kulkas, showcase, dispenser, freezer,dll semarang SJT) Satria Jaya Tehnik",-7.0859685,110.4228447,0
101,"Service Laptop , Jual Beli Laptop TV LCD LED Elektronik ( TopCompX )",-7.0185417,110.3353783,0
102,Service Laptop 24 Jam & Recovery Data (VISLAP Cabang Tembalang),-7.0610803,110.4391116,0
103,Service laptop komputer dan printer,-7.016783,110.483534,0
104,"SERVICE MESIN CUCI, KIPAS joko bleduk",-6.988666,110.3931472,0
105,SERVICE MESIN CUCI TEMBALANG,-7.0694224,110.4388562,0
106,Service Televisi,-6.9704445,110.4034276,0
107,"SERVICE TV , DOKTER TV ( DTV ELEKTRONIK )",-6.9774288,110.4616959,0
108,SERVICE TV LED (Boncez part LED),-6.9959556,110.3642471,0
109,Service Tv Led Semarang Terbaik,-6.9703363,110.4026663,0
110,Servis & Jual beli laptop UNNES (DIVA NOTEBOOK),-7.0570317,110.3947655,0
111,Servis AC.kulkas.frezer.shouwkes.mesin cuci.kipas angin.megicom.blender.pompa air.mixzer.water heater gas.kompor. seterika.,-7.0060793,110.3018302,0
112,SERVIS AC | KULKAS | MESIN CUCI | TV | Berdikari Elektronik Service,-7.0797891,110.4130065,0
113,Servis Center Resmi Xiaomi - Poco - Infinix - Tecno - Itel,-6.982113,110.3940597,0
114,"Servis electronik bukit kencana meteseh tembalang semarang,",-7.0688778,110.4594857,0
115,Servis Elektronik dan HP,-6.9733077,110.398115,0
116,"Servis Elektronik tv led ,m cuci ,kipas , stb ,kipas dan lain lain tembalang semarang",-7.0607734,110.4442279,0
117,Servis hp Sinshe Phone,-7.0372195,110.4726117,0
118,"Servis kipas angin ""Epsilon Delta""",-7.0078577,110.4596457,0
119,Servis kipas angin berkah,-7.0074057,110.4276203,0
120,Servis Kipas Ngaliyan Pak Slamet,-6.9984874,110.3333324,0
121,"Servis Komputer, Laptop dan Smartphone Semarang | Dzulfikar Solution",-7.0866084,110.426855,0
122,Servis Komputer Gedawang,-7.0936802,110.4224777,0
123,Servis Laptop Semarang || dokter komputer,-6.997851,110.382668,0
124,"Servis Mesin cuci, TV, kulkas, kompor gas, kipas angin, blender, mixer, magic com, setrika, dispenser dll",-7.0354027,110.4314014,0
125,Servis Mesin Cuci Murah | Service Kulkas AC dan Elektronik Semarang | Utama Teknik,-7.090909,110.4231062,0
126,Servis Mesin Cuci QUANTUM Teknik | Spesialis Servis Mesin Cuci Semarang,-7.0584345,110.3089347,0
127,Servis TV LED ( Radev ),-6.9961948,110.3242104,0
128,"Sevice TV LCD LED, ( SR TV Elektronik).",-7.0744769,110.4218449,0
129,SHARP Service Center,-6.9837555,110.4346906,0
130,Skycell Service Hp,-6.9877903,110.4481291,0
131,Spesialis tv led JATENG,-7.0131305,110.4720428,0
132,Stasiun Computer Tembalang | Jual Beli Laptop Semarang | Programing Desain Gaming,-7.0565976,110.4359193,0
133,Sukun Elektronik,-7.0646314,110.4137489,0
134,Sultan servis elektronik,-6.9698025,110.4538038,0
135,Super Komputer Semarang,-6.9918418,110.327816,0
136,TCL Service Center Semarang,-6.977282,110.3689902,0
137,Terdekat Cell Service Hp,-6.9695132,110.4091264,0
138,Toko Zam Zam Elektronik,-6.9529555,110.4804632,0
139,Tokyo zalfa elektronik,-6.998102,110.4520069,0
140,Toshiba TV Service Center,-7.008414,110.4693355,0
141,TPA Jatibarang (142),-7.021579,110.3583421,0
142,"Umar Service elektronik kulkas, mesin cuci dll",-7.0494298,110.4223327,0
143,Uni Comp Service Computer,-7.0286714,110.4279204,0
144,USC Universal Service Center,-7.0791992,110.3087317,0
145,VIP Computer - Service Laptop and Computer Semarang,-7.0656077,110.4293604,0
146,WAHYU PHONE SERVICE,-6.9989384,110.3897285,0
147,Wincom Servis Komputer,-7.0451634,110.3912741,0
148,"WS Electronic, Jasa service Electronic Dan Jasa pemasangan CCTV",-7.0213413,110.4702977,0
149,Yess mobile service hp,-7.0035383,110.39201,0
150,YS Computer Semarang || Jual Beli Laptop Semarang || Servis laptop dan Komputer Gunungpati Semarang,-7.0833961,110.3610462,0
151,"Yu_dha Computer ( Service Komputer,printer,laptop)",-6.9985262,110.3523577,0
152,Zapplerepair,-6.9632433,110.4643463,0
